;;;;P;Tag;Nacht;NG
0;0.00E+00;5196;0;0;0.0;0.0;100.0
1;1.25E+01;6007;4487;50;75.1;56.1;81.0
2;2.50E+01;3161;1923;100;79.0;48.1;70.1
3;3.75E+01;3659;6095;150;137.2;228.6;62.6
4;5.00E+01;2194;4350;200;109.7;217.5;55.5
5;6.25E+01;1137;2541;250;71.1;158.8;49.7
6;7.50E+01;650;1656;300;48.8;124.2;45.1
7;8.75E+01;490;1059;350;42.9;92.7;41.5
8;1.00E+02;373;732;400;37.3;73.2;38.5
9;1.13E+02;349;584;450;39.3;65.7;36.1
10;1.25E+02;314;331;500;39.3;41.4;34.0
11;1.38E+02;252;195;550;34.7;26.8;32.2
12;1.50E+02;237;203;600;35.6;30.5;30.6
13;1.63E+02;189;152;650;30.7;24.7;29.2
14;1.75E+02;188;123;700;32.9;21.5;28.0
15;1.88E+02;148;115;750;27.8;21.6;26.8
16;2.00E+02;160;108;800;32.0;21.6;25.8
17;2.13E+02;182;82;850;38.7;17.4; 
18;2.25E+02;162;82;900;36.5;18.5; 
19;2.38E+02;145;76;950;34.4;18.1; 
20;2.50E+02;144;63;1000;36.0;15.8; 
21;2.63E+02;156;42;1050;41.0;11.0; 
22;2.75E+02;132;34;1100;36.3;9.4; 
23;2.88E+02;154;38;1150;44.3;10.9; 
24;3.00E+02;130;47;1200;39.0;14.1; 
25;3.13E+02;135;42;1250;42.2;13.1; 
26;3.25E+02;127;30;1300;41.3;9.8; 
27;3.38E+02;113;29;1350;38.1;9.8; 
28;3.50E+02;103;24;1400;36.1;8.4; 
29;3.63E+02;106;23;1450;38.4;8.3; 
30;3.75E+02;99;25;1500;37.1;9.4; 
31;3.88E+02;89;22;1550;34.5;8.5; 
32;4.00E+02;54;18;1600;21.6;7.2; 
33;4.13E+02;76;22;1650;31.4;9.1; 
34;4.25E+02;63;13;1700;26.8;5.5; 
35;4.38E+02;57;8;1750;24.9;3.5; 
36;4.50E+02;49;16;1800;22.1;7.2; 
37;4.63E+02;49;12;1850;22.7;5.6; 
38;4.75E+02;30;12;1900;14.3;5.7; 
39;4.88E+02;40;12;1950;19.5;5.9; 
40;5.00E+02;33;17;2000;16.5;8.5; 
41;5.13E+02;36;5;2050;18.5;2.6; 
42;5.25E+02;29;6;2100;15.2;3.2; 
43;5.38E+02;29;6;2150;15.6;3.2; 
44;5.50E+02;14;6;2200;7.7;3.3; 
45;5.63E+02;27;9;2250;15.2;5.1; 
46;5.75E+02;14;12;2300;8.1;6.9; 
47;5.88E+02;17;15;2350;10.0;8.8; 
48;6.00E+02;9;10;2400;5.4;6.0; 
49;6.13E+02;10;10;2450;6.1;6.1; 
50;6.25E+02;4;4;2500;2.5;2.5; 
