;BKW;Insel;A+;
7.5;207.3;80.72;93.936;
8.5;211.9;81.22;96.574;
9.5;216.6;81.74;99.444;
10.5;221.2;82.27;102.195;
11.5;225.1;82.78;104.93;
12.5;226.7;83.28;105.403;
13.5;227.8;83.78;105.492;
14.5;228.4;84.1;105.493;
15.5;231.5;84.64;107.233;
16.5;232.5;85.03;107.287;
17.5;233.1;85.4;107.355;
18.5;234;85.8;107.382;
19.5;237.1;86.2;108.443;
20.5;241.2;86.59;110.386;
21.5;246;87.02;113.03;
22.5;250.6;87.43;116.162;
23.5;254.3;87.84;118.404;
24.5;258.3;88.27;120.936;
25.5;263.1;88.62;124.404;
26.5;267.3;89.04;126.766;
27.5;272.2;89.46;130.373;
28.5;276.8;89.9;133.023;
29.5;281.6;90.43;135.476;
30.5;286;90.97;138.116;
31.5;290.7;91.47;140.701;140.701
1.6;295.3;91.95;143.94;
2.6;299.8;92.43;147.086;
3.6;304.8;92.96;149.784;
4.6;308.5;93.51;151.663;
5.6;310.9;94.01;152.693;
6.6;313.3;94.5;153.806;
7.6;315.9;95.03;155.129
8.6;318.6;95.56;156.095
9.6;321;96.05;156.697
10.6;323.3;96.56;157.416
11.6;325;97.05;157.758
12.6;329.6;97.58;160.483
13.6;334.2;98.13;164.046
14.6;338.8;98.67;167.625
15.6;343.4;99.24;170.731
16.6;347.4;99.79;173.013
17.6;351.3;100.34;175.243
18.6;356;100.85;177.674
19.6;360.5;101.39;180.627
20.6;365.1;101.93;183.626
21.6;369.1;102.46;186.002
22.6;373.5;102.97;188.85
23.6;376.5;103.47;190.569;
24.6;377.8;103.94;190.956;
25.6;382.2;104.45;192.815;
26.6;386.7;104.92;196.271;
27.6;389;105.44;197.267;
28.6;392.5;105.97;199.439;
29.6;397.1;106.49;202.506;
30.6;401.7;106.98;205.284;205.284
1.7;404;107.49;206.141;
2.7;407.7;107.98;208.417;
3.7;412.1;108.55;211.548;
4.7;416.7;109.09;215.136;
6.7;424.3;110.14;219.999;
7.7;428.6;110.7;222.694;
8.7;433.2;111.21;225.366;
9.7;437.8;111.72;228.15;
10.7;441.5;112.22;229.478
11.7;445.9;112.71;232.059
12.7;449.9;113.23;234.333
13.7;453.4;114.09;236.226
14.7;458.1;114.73;239.536
15.7;462.7;115.34;242.553
16.7;466.9;116.18;244.279
17.7;470.5;117.24;246.397
18.7;474.7;118.23;248.76
19.7;478.5;119.23;250.519
20.7;481.4;120.15;252.003
21.7;483.5;121.3;252.988
22.7;488;122.43;255.261
23.7;492.5;123.27;257.542
24.7;496.3;124.15;260.099
25.7;498.4;125.24;260.836
26.7;500.7;126.33;261.676;
27.7;505;127.1;264.126;
28.7;508.5;128.1;265.996;
29.7;512.1;129.09;267.484;
30.7;514.9;130.15;268.572;
31.7;519;130.98;270.782;270.782
1.8;519.6;131.32;270.843;
2.8;523.5;132.45;272.803;
3.8;524.3;132.97;272.838;
4.8;525.6;133.81;273.13;
5.8;526.2;134.12;273.139;
6.8;527.4;134.85;273.232;
7.8;529.5;135.92;273.517;
22.8;587.3;148.1;317.603;
23.8;590.7;148.91;318.619;
24.8;594.7;149.8;320.568;
25.8;598.6;150.71;322.289;
26.8;601.2;151.54;323.427;
27.8;604.3;152.38;324.702;
28.8;606.5;153.21;325.61;
29.8;607.6;153.88;325.779;
30.8;609.4;154.66;326.163;
31.8;613.2;155.55;328.468;328.468
1.9;616.3;156.4;329.911;
2.9;620.3;157.13;331.503;
3.9;622.4;157.95;332.041;
4.9;626;158.76;334.176;
5.9;630.2;159.62;336.424;
7.9;638.3;161.32;341.984;
9.9;646.3;163.8;344.966;
10.9;650.1;164.99;345.735;
11.9;653.8;166.22;347.824;
12.9;657.5;167.46;350.24
13.9;660.8;168.62;351.921
14.9;663.1;169.69;352.92
15.9;666.8;171.11;353.705
16.9;670.7;172.37;355.291
17.9;674.4;173.58;357.064
18.9;678;174.84;359.405
19.9;679.7;175.66;360.375
20.9;683.4;176.85;362.918
21.9;686.9;178;364.774
22.9;689.5;179.12;366.154
23.9;690.6;179.74;366.181
24.9;691.5;180.3;366.319
25.9;694;181.21;367.807
26.9;697.5;182.24;369.999
27.9;701;183.31;372.214
28.9;704.4;184.4;374.302;
29.9;707.8;185.48;376.677;
30.9;709.4;186.52;377.005;377.005
1.10;711.9;187.55;377.75;
2.1;715.3;188.53;379.107;
3.1;718.7;189.59;380.918;
4.1;722;190.7;382.827;
5.1;725.1;191.8;384.417;
6.1;728.5;192.92;386.507;
7.1;731.5;194.02;387.751;
8.1;731.9;194.42;387.793;
9.1;733;195.33;388.07;
10.1;734.6;196.11;388.658;
11.1;737.2;197.06;389.974;
12.1;740.1;198.1;391.595;
13.1;742.6;199.08;392.729;
14.1;744.8;200.08;393.407
15.1;746.1;201.01;393.864
17.1;751.6;202.97;397.08
18.1;754.3;203.98;398.29
19.1;755.2;204.42;398.373
20.1;756;204.93;398.569
21.1;758.6;205.98;400.196
22.1;759.7;206.51;400.344
23.1;762.3;207.55;401.187
24.1;762.9;207.9;401.27
25.1;764.4;208.68;401.775
26.1;765.7;209.41;402.238
27.1;766;209.59;402.239
28.1;767.6;210.16;402.924
29.1;768.5;210.55;402.999
30.1;769.9;211.2;403.219
31.1;770.1;211.28;403.219;403.219
1.11;772.4;212.24;404.269;
3.11;774.8;213.29;404.702;
4.11;777;214.26;405.753;
5.11;778.5;214.83;406.009;
6.11;780.5;215.76;406.874;
7.11;781.2;216.45;406.887;
8.11;782.8;217.32;407.42;
10.11;784.7;218.27;407.847;
11.11;785.4;218.65;407.865;
12.11;787.4;219.57;408.166;
15.11;790.3;221.01;408.651;
16.11;791.9;221.9;408.915;
